"Designator","MPN","Quantity Per PCB","Link"
"C112,C114","0402CG120J500NT","2",""
"C109,C113","0402CG200J500NT","2",""
"C115","0402B472K500NT","1",""
"C102,C104,C105,C106,C107,C108,C110,C116,C117,C201,C202,C203,C204,C205,C206,C207,C208,C210,C212,C303,C304","CL05B104KB54PNC","21",""
"C301,C302","CL10A105KB8NNNC","2",""
"C101,C103,C209,C211","CL31A106KBHNNNE","4",""
"D103,D104","1N4148WS","2",""
"D101,D301,D401,D402,D403,D404,D405,D406,D407,D408","KT-0603R","10",""
"F101","SHV2920P500-30-AA","1",""
"FB301","GZ1608D601TF","1",""
"J301","10118193-0001LF","1",""
"Q101","BC860B","1",""
"R110,R112","1206W4F604JT5E","2",""
"R109,R111","0402WGF1000TCE","2",""
"R101,R102,R104,R105,R106,R301,R401,R402,R403,R404,R405,R406,R407,R408","0402WGF1001TCE","14",""
"R201,R202,R203,R207,R208,R209,R213,R215","0402WGF2001TCE","8",""
"R103,R204,R205,R206,R210,R211,R212,R214,R216","0402WGF1002TCE","9",""
"R107","0402WGF1004TCE","1",""
"U201,U202,U203,U204,U205,U206,U207,U208","ACS712ELCTR-05B-T","8",""
"U101","AMS1117-3.3","1",""
"U209","AMS1117-5.0","1",""
"U106","ATECC608B-MAVDA-S","1",""
"U302","CH340N","1",""
"U102,U103","EL817S1(C)(TU)-F","2",""
"U104","STM32F103CBT6","1",""
"U105","TJA1042T/1J","1",""
"U303","USBLC6-2SC6","1",""
"U301","XC6206P332MR-G","1",""
"Y102","Q13FC13500004","1",""
"Y101","X49SM8MSD2SC","1",""
